playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,DB,TR,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
applilu01,1935,1,CHA,AL,153,,525,94,161,0,0,1,71,12,6,122,40,,0,7,,
applilu01,1936,1,CHA,AL,138,,526,111,204,0,0,6,128,10,6,85,25,,1,6,,
applilu01,1937,1,CHA,AL,154,,574,98,182,0,0,4,77,18,10,86,28,,1,4,,
applilu01,1938,1,CHA,AL,81,,294,41,89,0,0,0,44,1,3,42,17,,1,1,,
applilu01,1939,1,CHA,AL,148,,516,82,162,0,0,0,56,16,9,105,37,,0,9,,11
applilu01,1940,1,CHA,AL,150,,566,96,197,0,0,0,79,3,5,69,35,,1,3,,11
applilu01,1941,1,CHA,AL,154,,592,93,186,0,0,1,57,12,8,82,32,,1,2,,10
applilu01,1943,1,CHA,AL,155,,585,63,192,0,0,3,80,27,8,90,29,,1,1,,13
applilu01,1945,1,CHA,AL,18,,57,12,21,0,0,1,10,1,0,12,7,,0,1,,0
applilu01,1946,1,CHA,AL,149,,582,59,180,0,0,1,55,6,4,71,41,,0,6,,15
applilu01,1947,1,CHA,AL,139,,503,67,154,0,0,8,49,8,6,64,28,,1,4,,15
applilu01,1948,1,CHA,AL,139,,497,63,156,0,0,0,47,10,4,94,35,,0,3,,17
arenano01,2015,1,COL,NL,157,,616,97,177,0,0,42,130,2,5,34,110,13,4,0,11,17
arenano01,2016,1,COL,NL,160,,618,116,182,0,0,41,133,2,3,68,103,10,2,0,8,17
arenano01,2017,1,COL,NL,159,,606,100,187,0,0,37,130,3,2,62,106,9,4,1,6,21
arenano01,2018,1,COL,NL,156,,590,104,175,0,0,38,110,2,2,73,122,10,3,1,6,16
arenano01,2019,1,COL,NL,155,,588,102,185,0,0,41,118,3,2,62,93,11,4,0,8,14
arenano01,2021,1,SLN,NL,157,,593,81,151,0,0,34,105,2,0,50,96,8,3,0,7,20
arenano01,2022,1,SLN,NL,148,,557,73,163,0,0,30,103,5,3,52,72,3,7,0,4,15
arencjp01,2015,1,TBA,AL,24,,71,9,22,0,0,6,17,0,0,1,22,0,0,0,1,1
ariasal01,1999,1,PHI,NL,118,,347,43,105,0,0,4,48,2,2,36,31,6,4,1,2,12
armasto01,1980,1,OAK,AL,158,,628,87,175,0,0,35,109,5,3,29,128,4,2,2,5,22
armasto01,1983,1,BOS,AL,145,,574,77,125,0,0,36,107,0,1,29,131,0,2,0,8,31
armasto01,1984,1,BOS,AL,157,,639,107,171,0,0,43,123,1,3,32,156,9,1,0,7,13
arnovmo01,1939,1,PHI,NL,134,,491,68,159,0,0,5,67,7,,58,28,,2,9,,10
arozara01,2022,1,TBA,AL,153,,586,72,154,0,0,20,89,32,12,46,156,2,11,0,2,17
arraelu01,2019,1,MIN,AL,92,,326,54,109,0,0,4,28,2,2,36,29,1,1,0,3,2
arraelu01,2020,1,MIN,AL,32,,112,16,36,0,0,0,13,0,0,8,11,0,0,0,1,2
arraelu01,2022,1,MIN,AL,144,,547,88,173,0,0,8,49,4,4,50,43,2,3,0,3,6
asadora01,1986,1,SDN,NL,15,,55,9,20,0,0,0,7,1,2,3,13,1,0,2,0,0
ashburi01,1948,1,PHI,NL,117,,463,78,154,0,0,2,40,32,,60,22,,1,6,,1
ashburi01,1950,1,PHI,NL,151,,594,84,180,0,0,2,41,14,,63,32,,2,11,,11
ashburi01,1951,1,PHI,NL,154,,643,92,221,0,0,4,63,29,6,50,37,,2,17,,4
ashburi01,1953,1,PHI,NL,156,,622,110,205,0,0,2,57,14,6,61,35,,5,14,,3
ashburi01,1954,1,PHI,NL,153,,559,111,175,0,0,1,41,11,8,125,46,,4,14,1,3
ashburi01,1955,1,PHI,NL,140,,533,91,180,0,0,3,42,12,10,105,36,5,3,2,1,3
ashburi01,1956,1,PHI,NL,154,,628,94,190,0,0,3,50,10,1,79,45,3,5,6,1,4
ashburi01,1958,1,PHI,NL,152,,615,98,215,0,0,2,33,30,12,97,48,7,4,7,2,8
ashburi01,1962,1,NYN,NL,135,,389,60,119,0,0,7,28,12,7,81,39,2,0,1,2,4
astrojo01,1950,1,OAK,AL,39,,110,11,36,0,0,1,18,0,0,18,3,,0,0,,7
astudwi01,2018,1,MIN,AL,30,,93,9,33,0,0,3,21,0,0,2,3,0,1,0,1,4
atkinga01,2006,1,COL,NL,157,,602,117,198,0,0,29,120,4,0,79,76,6,7,0,7,24
atkinga01,2007,1,COL,NL,157,,605,83,182,0,0,25,111,3,1,67,96,3,2,0,10,16
auerbri01,1974,1,LAN,NL,45,,73,12,25,0,0,1,4,4,2,8,9,0,0,1,0,4
auerbri01,1978,1,CIN,NL,63,,55,17,18,0,0,2,5,1,0,7,12,0,1,2,0,1
aurilri01,2001,1,SFN,NL,156,,636,114,206,0,0,37,97,1,3,47,83,2,0,3,3,14
avilabo01,1951,1,CLE,AL,141,,542,76,165,0,0,10,58,14,8,60,31,,0,13,,16
avilabo01,1954,1,CLE,AL,143,,555,112,189,0,0,15,67,9,7,59,31,,1,19,4,9
avilemi01,2008,1,KCR,AL,102,,419,68,136,0,0,10,51,8,3,18,58,4,2,0,2,12
avilemi01,2010,1,KCR,AL,110,,424,63,129,0,0,8,32,14,5,20,49,0,1,0,3,13
avilemi01,2011,2,BOS,AL,38,,101,17,32,0,0,2,8,4,2,4,17,0,0,1,1,3
ayalabe01,1982,1,BAL,AL,64,,128,17,39,0,0,6,24,1,1,5,14,2,0,0,0,3
aybarer01,2009,1,LAA,AL,137,,504,70,157,0,0,5,58,14,7,30,54,1,5,12,5,9
aybarwi01,2005,1,LAN,NL,26,,86,12,28,0,0,1,10,3,1,18,11,0,1,0,0,0
aybarwi01,2006,2,ATL,NL,36,,115,17,36,0,0,1,8,0,2,10,19,0,1,1,0,2
backmwa01,1980,1,NYN,NL,27,,93,12,30,0,0,0,9,2,3,11,14,1,1,4,1,3
backmwa01,1984,1,NYN,NL,128,,436,68,122,0,0,1,26,32,9,56,63,2,0,5,2,13
backmwa01,1986,1,NYN,NL,124,,387,67,124,0,0,1,27,13,7,36,32,1,0,14,3,3
backmwa01,1988,1,NYN,NL,99,,294,44,89,0,0,0,17,9,5,41,49,1,1,9,2,6
baergca01,1992,1,CLE,AL,161,,657,92,205,0,0,20,105,10,2,35,76,10,13,2,9,15
baergca01,1993,1,CLE,AL,154,,624,105,200,0,0,21,114,15,4,34,68,7,6,3,13,17
baergca01,1994,1,CLE,AL,103,,442,81,139,0,0,19,80,8,2,10,45,1,6,3,8,10
baergca01,1995,1,CLE,AL,135,,557,87,175,0,0,15,90,11,2,35,31,6,3,0,5,15
baergca01,2003,1,ARI,NL,105,,207,31,71,0,0,4,39,1,1,18,20,1,2,1,3,6
baezja01,2018,1,CHN,NL,160,,606,101,176,0,0,34,111,21,9,29,167,8,5,1,4,10
bagweje01,1993,1,HOU,NL,142,,535,76,171,0,0,20,88,13,4,62,73,6,3,0,9,20
bagweje01,1994,1,HOU,NL,110,,400,104,147,0,0,39,116,15,4,65,65,14,4,0,10,12
bagweje01,1996,1,HOU,NL,162,,568,111,179,0,0,31,120,21,7,135,114,20,10,0,6,15
bagweje01,1997,1,HOU,NL,162,,566,109,162,0,0,43,135,31,10,127,122,27,16,0,8,10
bagweje01,1998,1,HOU,NL,147,,540,124,164,0,0,34,111,19,7,109,90,8,7,0,5,14
bagweje01,1999,1,HOU,NL,162,,562,143,171,0,0,42,126,30,11,149,127,16,11,0,7,18
bagweje01,2000,1,HOU,NL,159,,590,152,183,0,0,47,132,9,6,107,116,11,15,0,7,19
bagweje01,2001,1,HOU,NL,161,,600,126,173,0,0,39,130,11,3,106,135,5,6,0,5,20
bagweje01,2002,1,HOU,NL,158,,571,94,166,0,0,31,98,7,3,101,130,8,10,0,9,16
bagweje01,2003,1,HOU,NL,160,,605,109,168,0,0,39,100,11,4,88,119,3,6,0,3,25
bailobo01,1977,1,TOR,AL,122,,496,62,154,0,0,5,32,15,6,17,26,1,2,6,2,7
baineha01,1982,1,CHA,AL,161,,608,89,165,0,0,25,105,10,3,49,95,10,0,2,9,12
baineha01,1984,1,CHA,AL,147,,569,72,173,0,0,29,94,1,2,54,75,9,0,1,5,12
baineha01,1985,1,CHA,AL,160,,640,86,198,0,0,22,113,1,1,42,89,8,1,0,10,23
baineha01,1989,1,CHA,AL,96,,333,55,107,0,0,13,56,0,1,60,52,13,1,0,3,11
baineha01,1993,1,BAL,AL,118,,416,64,130,0,0,20,78,0,0,57,52,9,0,1,6,14
baineha01,1996,1,CHA,AL,143,,495,80,154,0,0,22,95,3,1,73,62,7,1,0,3,20
baineha01,1997,1,CHA,AL,93,,318,40,97,0,0,12,52,0,1,41,47,10,0,0,2,9
baineha01,1999,1,BAL,AL,107,,345,57,111,0,0,24,81,1,2,43,38,3,0,0,2,14
bakerdu01,1972,1,ATL,NL,127,,446,62,143,0,0,17,76,4,7,45,68,2,4,2,6,9
bakerdu01,1981,1,LAN,NL,103,,400,48,128,0,0,9,49,10,7,29,43,1,1,3,5,9
bakerfl01,1950,1,CHA,AL,83,,186,26,59,0,0,0,11,1,1,32,10,,0,5,,5
