playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA
astacpe01,1999,1,COL,NL,17,11,34,34,7,0,0,696,258,130,38,75,210,0.285,5.04
atchisc01,2012,1,BOS,AL,2,1,42,0,0,0,0,154,42,9,2,9,36,0.223,1.58
atchisc01,2014,1,CLE,AL,6,0,70,0,0,0,2,216,60,22,4,14,49,0.227,2.75
atherke01,1983,1,OAK,AL,2,5,29,0,0,0,4,205,53,21,7,23,40,0.215,2.77
austiji02,1992,1,MIL,AL,5,2,47,0,0,0,0,175,38,12,2,32,30,0.191,1.85
averyst01,1993,1,ATL,NL,18,6,35,35,3,1,0,670,216,73,14,43,125,0.261,2.94
avilalu01,2012,1,ATL,NL,1,0,31,0,0,0,0,108,27,8,1,10,33,0.211,2.0
avilalu01,2013,1,ATL,NL,5,0,75,0,0,0,0,195,40,11,1,22,38,0.175,1.52
avilalu01,2017,1,LAN,NL,2,3,61,0,0,0,0,138,42,15,2,22,52,0.246,2.93
axelrdy01,2011,1,CHA,AL,1,0,4,3,0,0,0,56,18,6,1,9,19,0.257,2.89
axelrdy01,2014,1,CIN,NL,2,1,5,4,0,0,0,55,14,6,5,4,20,0.206,2.95
axforjo01,2010,1,MIL,NL,8,2,50,0,0,0,24,174,42,16,1,27,76,0.204,2.48
axforjo01,2011,1,MIL,NL,2,2,74,0,0,0,46,221,59,16,4,25,86,0.212,1.95
axforjo01,2012,1,MIL,NL,5,8,75,0,0,0,35,208,61,36,10,39,93,0.229,4.67
ayalabo01,1994,1,SEA,AL,4,3,46,0,0,0,18,170,42,18,2,26,76,0.203,2.86
ayalalu01,2003,1,WAS,NL,10,3,65,0,0,0,5,213,65,23,8,13,46,0.244,2.92
ayalalu01,2004,1,WAS,NL,6,12,81,0,0,0,2,271,92,27,6,15,63,0.268,2.69
ayalalu01,2005,1,WAS,NL,8,7,68,0,0,0,1,213,75,21,7,14,40,0.286,2.66
ayalalu01,2011,1,NYA,AL,2,2,52,0,0,0,0,168,51,13,5,20,39,0.256,2.09
ayalalu01,2012,1,BAL,AL,5,5,66,0,0,0,1,225,81,22,7,14,51,0.272,2.64
ayalalu01,2013,2,ATL,NL,1,1,37,0,0,0,0,93,34,10,1,13,20,0.286,2.9
aybarma01,2000,3,MIA,NL,1,0,21,0,0,0,0,82,18,8,3,13,14,0.184,2.63
badenbu01,2014,1,BOS,AL,0,3,70,0,0,0,1,212,70,18,1,19,40,0.268,2.29
baezda01,2001,1,CLE,AL,5,3,43,0,0,0,0,151,34,14,5,20,52,0.191,2.5
baezda01,2004,1,TBA,AL,4,4,62,0,0,0,30,204,60,27,6,29,52,0.237,3.57
baezda01,2005,1,TBA,AL,5,4,67,0,0,0,41,217,66,23,7,30,51,0.244,2.86
baezpe01,2014,1,LAN,NL,0,0,20,0,0,0,0,72,16,7,3,5,18,0.188,2.63
baezpe01,2017,1,LAN,NL,3,6,66,0,0,0,0,192,56,21,9,29,64,0.225,2.95
baezpe01,2018,1,LAN,NL,4,3,55,0,0,0,0,169,46,18,4,23,62,0.22,2.88
bagbyji02,1942,1,CLE,AL,17,9,38,35,16,4,1,812,267,89,19,64,54,0.25,2.96
bahnsst01,1968,1,NYA,AL,17,12,37,34,10,1,0,802,216,61,14,68,162,0.22,2.05
bahnsst01,1972,1,CHA,AL,21,16,43,41,5,1,0,757,263,101,22,73,157,0.268,3.6
bahred01,1946,1,PIT,NL,8,6,27,14,7,0,0,410,128,40,8,52,44,0.25,2.63
bailean01,2009,1,OAK,AL,6,3,68,0,0,0,26,250,49,17,5,24,91,0.167,1.84
bailean01,2010,1,OAK,AL,1,3,47,0,0,0,25,147,34,8,3,13,42,0.199,1.47
baileco01,1996,1,SLN,NL,5,2,51,0,0,0,0,171,57,19,1,30,38,0.263,3.0
bailesc01,1997,1,TEX,AL,1,0,24,0,0,0,0,66,18,7,2,10,14,0.231,2.86
bairdo01,1978,1,CIN,NL,7,6,70,0,0,0,28,301,87,22,6,38,91,0.236,1.97
bairdo01,1982,1,SLN,NL,5,3,63,0,0,0,8,275,69,26,7,36,68,0.211,2.55
bairdo01,1986,1,OAK,AL,2,3,31,0,0,0,4,135,37,15,5,18,40,0.224,3.0
bairdo01,1989,1,PIT,NL,2,3,44,0,0,0,1,202,52,17,4,28,56,0.211,2.27
baldsja01,1962,1,PHI,NL,12,7,67,0,0,0,13,338,95,37,6,58,95,0.23,2.96
baldsja01,1963,1,PHI,NL,11,7,65,0,0,0,16,341,99,29,7,42,89,0.23,2.3
baldwda01,1967,1,TEX,AL,2,4,58,0,0,0,12,206,53,13,2,20,52,0.21,1.7
baldwda01,1970,1,MIL,AL,2,1,28,0,0,0,1,106,25,10,4,18,26,0.205,2.55
baldwja01,2005,1,BAL,AL,0,0,12,0,0,0,0,67,17,4,2,3,12,0.218,1.61
balesco01,2010,1,WAS,NL,0,1,17,0,0,0,0,63,15,6,2,11,28,0.203,2.57
balfogr01,2008,1,TBA,AL,6,2,51,0,0,0,4,175,28,10,3,24,82,0.143,1.54
balfogr01,2010,1,TBA,AL,2,1,57,0,0,0,0,166,43,14,3,17,56,0.216,2.28
balfogr01,2011,1,OAK,AL,5,2,62,0,0,0,2,186,44,17,8,20,59,0.199,2.47
balfogr01,2012,1,OAK,AL,3,2,75,0,0,0,24,224,41,21,4,28,72,0.16,2.53
balfogr01,2013,1,OAK,AL,1,3,65,0,0,0,38,188,48,18,7,27,72,0.206,2.59
baneed01,1975,1,MIN,AL,3,1,4,4,0,0,0,85,28,9,2,15,14,0.262,2.86
bankhsc01,1992,1,CIN,NL,10,4,54,0,0,0,1,212,57,23,4,29,53,0.218,2.93
bannifl01,1982,1,SEA,AL,12,13,35,35,5,3,0,741,225,94,32,77,209,0.243,3.43
baragca01,2021,1,SFN,NL,2,1,25,0,0,0,2,69,19,4,1,12,16,0.235,1.57
barbest01,1963,1,BAL,AL,20,13,39,36,11,2,0,776,253,79,12,92,180,0.25,2.75
barbest01,1965,1,BAL,AL,15,10,37,32,7,2,0,662,177,66,16,81,130,0.22,2.69
barbest01,1966,1,BAL,AL,10,5,25,22,5,3,0,400,104,34,6,49,91,0.21,2.3
barbest01,1972,2,LAA,AL,4,4,34,3,0,0,2,174,37,13,4,30,34,0.188,2.02
bardda01,2010,1,BOS,AL,1,2,73,0,0,0,3,224,45,16,6,30,76,0.176,1.93
bardda01,2022,1,COL,NL,6,4,57,0,0,0,34,181,35,12,3,25,69,0.162,1.79
barkele01,1977,1,TEX,AL,4,1,15,3,0,0,1,142,36,14,1,24,51,0.217,2.66
barlosc01,2021,1,KCR,AL,5,3,71,0,0,0,16,223,61,20,4,28,91,0.223,2.42
barlosc01,2022,1,KCR,AL,7,4,69,0,0,0,24,223,52,18,9,22,77,0.198,2.18
barnebr01,1990,1,WAS,NL,1,1,4,4,1,0,0,84,25,9,2,7,23,0.236,2.89
barnebr01,1992,1,WAS,NL,6,6,21,17,0,0,0,300,77,33,9,46,65,0.213,2.97
barneja01,2016,1,MIL,NL,0,1,27,0,0,0,1,80,24,8,1,6,26,0.245,2.7
barneto01,2016,1,TEX,AL,7,3,53,0,0,0,0,181,54,14,4,16,49,0.242,2.09
barneto01,2018,1,TEX,AL,2,0,22,0,0,0,0,79,19,7,2,5,26,0.196,2.39
barojsa01,1983,1,CHA,AL,3,3,52,0,0,0,12,262,70,24,2,32,38,0.224,2.47
barraky01,2015,1,MIA,NL,2,1,25,0,0,0,0,73,12,7,1,18,30,0.154,2.59
barraky01,2016,1,MIA,NL,6,3,75,0,0,0,0,218,45,23,1,44,113,0.176,2.85
barraky01,2017,1,MIA,NL,6,2,66,0,0,0,1,198,53,22,5,38,76,0.222,3.0
barreaa01,2014,1,WAS,NL,3,0,50,0,0,0,0,122,33,12,1,20,49,0.22,2.66
barredi01,1943,2,PHI,NL,10,9,23,20,10,2,1,508,137,45,5,51,65,0.22,2.39
barrefr01,1945,1,BOS,AL,4,3,37,0,0,0,3,258,77,25,0,29,35,0.24,2.62
barrere01,1945,2,SLN,NL,21,9,36,29,22,3,0,740,244,75,12,38,63,0.25,2.74
barrija01,2022,1,LAA,AL,3,3,35,1,0,0,0,238,63,23,11,19,54,0.217,2.61
barrji01,1972,1,SFN,NL,8,10,44,18,8,2,2,537,166,57,16,41,86,0.246,2.87
